year,Rank,Artist,Title,Spotify_Popularity,Artist_Popularity
1961,32,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",-1,33
1961,33,Neil Sedaka,Calendar Girl,-1,58
1961,34,Chris Kenner,I Like It Like That,3,24
1961,35,Jørgen Ingmann,Apache,1,23
1961,36,Linda Scott,Don’t Bet Money Honey,-1,26
1961,37,Johnny Tillotson,Without You,-1,48
1961,38,Ferlin Husky,Wings Of A Dove,-1,39
1961,39,Elvis Presley,Little Sister,-1,81
1961,40,Marcels,Blue Moon,30,43
1961,41,Shep and The Limelites,Daddy’s Home,-1,28
1961,42,Troy Shondell,This Time,-1,11
1961,43,Clarence “Frog Man” Henry,I Don’t Know Why But I Do,-1,-1
1961,44,Kokomo,Asia Minor,-1,31
1961,45,Faron Young,Hello Walls,-1,47
1961,46,Dion,Runaround Sue,62,78
1961,47,Arthur Lyman,Yellow Bird,38,36
1961,48,Timi Yuro,Hurt,-1,40
1961,49,Ricky Nelson,Hello Mary Lou,-1,56
1961,50,Capris,There’s A Moon Out Tonight,-1,32
1961,51,Elvis Presley,Surrender,-1,81
1961,52,Paris Sisters,I Love How You Love Me,-1,29
1961,53,Lee Dorsey,Ya Ya,6,51
1961,54,Gary,School Is Out,-1,64
1961,55,Bob Moore,Mexico,-1,9
1961,56,Ral Donner,You Don’t Know What You’ve Got (Until You Lose It),-1,16
1961,57,Everly Brothers,Walk Right Back,3,62
1961,58,Lettermen,The Way You Look Tonight,-1,43
1961,59,Pat Boone,Moody River,-1,46
1961,60,Ray Charles,One Mint Julep,-1,69
1961,61,Adam Wade,Take Good Care Of Her,-1,14
1961,62,Carla Thomas,Gee Whiz (Look At His Eyes),30,54
1961,63,Ben E. King,Stand By Me,-1,67
1961,64,Ben E. King,Spanish Harlem,50,67
1961,65,Ike and Tina Turner,It’s Gonna Work Out Fine,-1,57
1961,66,Echoes,Baby Blue,-1,43
1961,67,Buzz Clifford,Baby Sittin’ Boogie,-1,13
1961,68,Del Shannon,Hats Off To Larry,-1,51
1961,69,Caesar and The Romans,Those Oldies But Goodies,-1,14
1961,70,Chubby Checker,The Fly,-1,55
1961,71,Elvis Presley,(Marie’s The Name) His Latest Flame,-1,81
1961,72,Bert Kaempfert and His Orch.,Wonderland By Night,-1,-1
1961,73,Tony Orlando,Bless You,11,45
1961,74,Linda Scott,I’ve Told Every Little Star,-1,26
1961,75,Bobby Lewis,One Track Mind,-1,28
1961,76,Rosie and The Originals,Angel Baby,-1,45
1961,77,Curtis Lee,Pretty Little Angel Eyes,-1,29
1961,78,Brook Benton,Think Twice,-1,48
1961,79,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),-1,34
1961,80,Connie Francis,Breakin’ In A Brand New Broken Heart,-1,56
1961,81,Shirelles,Mama Said,-1,55
1961,82,Fats Domino,Let The Four Winds Blow,-1,57
1961,83,Adam Wade,The Writing On The Wall,-1,14
1961,84,Matt Monroe,My Kind Of Girl,-1,-1
1961,85,Paul Anka,"Tonight My Love, Tonight",-1,64
1961,86,Jimmy Dean,Big Bad John,53,43
1961,87,Bobby Rydell,Good Time Baby,-1,46
1961,88,Floyd Cramer,San Antonio Rose,22,40
1961,89,Bobby Vee,Rubber Ball,40,53
1961,90,Ray Peterson,Missing You,-1,39
1961,91,Brenda Lee,Dum Dum,23,75
1961,92,Eddie Hodges,I’m Gonna Knock On Your Door,-1,28
1961,93,Brenda Lee,You Can Depend On Me,-1,75
1961,94,Chubby Checker,Let’s Twist Again,-1,55
1961,95,Dave Brubeck,Take Five,65,60
1961,96,Elvis Presley,Are You Lonesome Tonight,-1,81
1961,97,Don Gibson,Sea Of Heartbreak,-1,46
1961,98,Four Preps,More Money For You And Me Medley,-1,33
1961,99,Bobby Darin,You Must Have Been A Beautiful Baby,-1,62
1961,100,Drifters,Please Stay,-1,64
1962,1,Mr. Acker Bilk,Stranger On The Shore,-1,14
1962,2,Ray Charles,I Can’t Stop Loving You,-1,69
1962,3,Dee Dee Sharp,Mashed Potato Time,40,35
1962,4,Bobby Vinton,Roses Are Red,53,59
1962,5,David Rose,The Stripper,-1,30
1962,6,Shelley Fabares,Johnny Angel,28,29
1962,7,Little Eva,The Loco-Motion,-1,47
1962,8,Sensations,Let Me In,-1,24
1962,9,Chubby Checker,The Twist,47,55
1962,10,Shirelles,Soldier Boy,-1,55
1962,11,Bruce Channel,Hey! Baby,10,45
1962,12,Dion,The Wanderer,50,78
1962,13,Gene Chandler,Duke Of Earl,53,45
1962,14,Freddy Cannon,Palisades Park,-1,33
1962,15,Neil Sedaka,Breaking Up Is Hard To Do,48,58
